gene	jh44	jh45	jh46	jh47	jh61	jh62	jh63	jh64
ptrA	4115	3032	1534	610	2638	2812	578	508
ygdB	9	10	41	27	11	17	15	19
ppdC	43	54	90	50	36	46	35	40
argA	208	267	230	161	229	252	89	133
amiC	3567	4486	2313	1425	2570	3947	679	1014
recB	1619	625	1994	428	1399	813	710	382
chbR	47	64	35	16	33	49	14	8
yeaK	986	1378	178	107	7	991	3	77
ymiA	167	121	92	55	139	146	15	44
cysB	2490	6348	454	322	2163	7271	149	302
yhfT	29	19	57	39	27	30	28	27
alaC	1060	4891	239	569	757	4503	91	419
yohO	366	654	57	64	313	645	25	38
yciQ	55	50	205	121	50	64	79	158
yciO	2870	3176	489	235	2048	4726	168	278
btuR	912	640	208	122	577	924	61	100
rluB	3855	9540	888	730	5887	10359	565	652
sohB	2359	2381	941	369	1655	3793	347	461
yciK	1531	1967	347	191	1251	2660	117	197
topA	12425	10430	4740	2218	11144	15423	1828	2327
yciN	3575	2703	656	221	2554	4025	224	312
yjbL	2	0	2	2	2	3	2	0
yjbM	3	12	11	11	4	1	5	3
lexA	3686	5162	1017	455	3046	3913	394	366
kefG	141	336	107	93	138	267	65	97
yjbJ	167	517	196	150	96	445	65	121
zur	763	807	186	78	429	654	76	50
yeaM	139	215	57	54	1	132	6	33
ubiA	1383	1593	419	211	1336	1648	146	153
plsB	8599	3399	3254	670	7119	4638	1128	573
yhiI	821	1236	516	288	483	1025	155	206
tusA	1137	871	223	95	820	833	66	79
ypdC	95	118	131	129	70	129	69	112
yhhQ	333	1767	99	187	547	1153	53	110
yhhN	905	844	262	139	472	763	87	77
zntA	3123	1711	1365	357	1613	1969	308	248
yhhT	52	58	40	22	43	70	19	18
yeaL	119	338	61	31	13	270	2	33
acpT	815	819	286	108	659	682	98	101
ypdB	438	993	169	157	278	819	62	113
dcrB	8496	4515	1501	477	5266	4832	521	376
yhhS	289	243	309	143	309	280	130	116
ysgA	236	1134	60	91	209	915	29	62
udp	10234	7554	1244	369	9715	8151	759	275
ycjF	1482	643	698	170	1010	2038	191	260
ycjX	2760	1290	979	213	1559	3235	218	367
yigP	1121	666	878	282	1412	860	300	186
dkgB	1522	861	229	59	1254	917	73	43
yafC	612	708	124	66	387	578	54	43
yafD	638	860	354	246	548	832	137	204
yafE	39	28	117	71	14	22	75	65
mltD	2601	4835	2082	1673	2336	2853	762	1190
ycjR	53	66	84	78	51	73	33	148
ycjQ	80	86	34	21	71	179	15	21
ycjW	434	301	131	53	303	413	43	73
ompG	6	15	29	31	7	12	9	36
ycjU	13	11	12	13	15	17	5	10
insB-6	0	0	0	0	0	0	0	0
mobB	199	233	107	59	115	214	36	42
mltF	346	213	378	134	346	189	102	120
yliE	450	69	343	62	339	116	96	51
yliF	437	48	169	19	354	94	75	35
gsiC	182	127	155	86	126	148	55	54
gsiD	195	141	147	58	161	160	48	75
gsiA	456	621	523	363	450	845	215	270
gsiB	1116	1217	388	164	739	1548	125	142
moeA	4500	3564	901	311	4221	5232	430	256
iaaA	490	854	400	373	391	789	166	280
rimO	4089	2873	861	342	5188	3325	442	289
bssR	41	16	50	18	11	13	49	19
