,log2FC_TE_v1,pvalue_v1,log2FC_TE_v2,pvalue_v2,log2FC_TE_final,pvalue_final,pvalue.adjust
yadN,-1.85169387430233,0.0790455450153618,-1.83962921014875,0.118034411364264,-1.83962921014875,0.118034411364264,0.665702467069717
folK,0.0252810149279963,0.93905502351682,0.0198756099510895,0.941707934806699,0.0198756099510895,0.941707934806699,0.991892295762117
yeiR,0.497726922897247,0.0675522649973601,0.491426586021713,0.0572741030622909,0.497726922897247,0.0675522649973601,0.543334579421974
yeiQ,-0.345569267310016,0.277432841145829,-0.347425938566659,0.282756121191035,-0.347425938566659,0.282756121191035,0.846494482515682
yniA,1.22894458659063,0.00126856678500667,1.22894460228249,0.00127688763605298,1.22894460228249,0.00127688763605298,0.0673433855845606
mdtE,-0.76203748474377,0.453255007198262,-0.772247703073738,0.446779383493606,-0.76203748474377,0.453255007198262,0.920780130513521
hdeD,-0.976318466751938,0.0607901773963714,-0.977565074861381,0.0384716885254972,-0.976318466751938,0.0607901773963714,0.521904141560584
yedJ,-0.405122945584758,0.260162381625398,-0.410904649749545,0.300311594474546,-0.410904649749545,0.300311594474546,0.846494482515682
dcm,0.269843630612123,0.308617740009062,0.271976604138299,0.335674357356426,0.271976604138299,0.335674357356426,0.86740952330579
hda,-0.137420895841365,0.631955376698415,-0.13488104916856,0.637827070919532,-0.13488104916856,0.637827070919532,0.955352463744852
yfgD,-0.113770303332224,0.692095692245075,-0.117373911091117,0.699465733815531,-0.117373911091117,0.699465733815531,0.964458067114327
yedI,0.625364953587912,0.0234611464922018,0.621199881464888,0.0261110110344923,0.621199881464888,0.0261110110344923,0.397014683497157
yodC,0.262731401935899,0.622716554343066,0.278146816633788,0.708346110721748,0.278146816633788,0.708346110721748,0.966189238541394
vsr,-0.519353432273347,0.231896643958936,-0.530705500026161,0.245554414945882,-0.530705500026161,0.245554414945882,0.822044565525869
yedA,0.78601694522278,0.0613952858765173,0.779291180007962,0.0480202869772626,0.78601694522278,0.0613952858765173,0.522696553342844
hyfJ,0.919959932619783,0.334665066079633,0.858298253193638,0.501275541009071,0.858298253193638,0.501275541009071,0.931654128393742
yodD,0.455793739305736,0.509359350519599,0.461302714204867,0.392006195702844,0.455793739305736,0.509359350519599,0.933587720401355
yedQ,-0.263226999366848,0.469245269239326,-0.265361419328379,0.483883237618383,-0.265361419328379,0.483883237618383,0.92981115052075
yedP,0.240742583234288,0.618974970100917,0.238771979519052,0.635071428984037,0.238771979519052,0.635071428984037,0.954552580959183
ygbM,0.185811657337615,0.660939361091962,0.174500575918571,0.631440013555945,0.185811657337615,0.660939361091962,0.963531731370272
ygbL,0.192012895631052,0.687528296432387,0.184805688354794,0.727806286048457,0.184805688354794,0.727806286048457,0.969114970201774
ygbI,-0.134933634717592,0.63652159903266,-0.138937640988156,0.640319042003579,-0.138937640988156,0.640319042003579,0.956364021036654
pphB,-1.27751487174681,0.0434261534468974,-1.30514248835915,0.0307795539003565,-1.27751487174681,0.0434261534468974,0.45871137055846
ygbK,-0.828776059577698,0.0914459402377458,-0.831479767611921,0.114230453564929,-0.831479767611921,0.114230453564929,0.658316705262497
ygbJ,0.720548749201794,0.127252320878267,0.720610780826413,0.156888508041377,0.720610780826413,0.156888508041377,0.738266780018579
fhlA,-0.332276353394791,0.349119609540471,-0.333212660693703,0.336843145900158,-0.332276353394791,0.349119609540471,0.870222591770107
hypE,-0.269265976164618,0.379872380742618,-0.268725076498098,0.396399633094425,-0.268725076498098,0.396399633094425,0.901593756446844
mutS,-0.0534314969576943,0.816758425867815,-0.0525780939725897,0.82335779185151,-0.0525780939725897,0.82335779185151,0.976469059057339
ygbA,0.890185943853752,0.0724100088358601,0.876337061268693,0.040604831842949,0.890185943853752,0.0724100088358601,0.561177568477916
cspF,-1.92607841489525,0.0503381320230463,-1.9569616143308,0.0585551891008579,-1.9569616143308,0.0585551891008579,0.512484101160741
rimJ,0.0386688896131795,0.863997887391743,0.0374676880199891,0.883623667138558,0.0374676880199891,0.883623667138558,0.980825725640868
cspB,-0.869825050584613,0.213091552903251,-0.885440656059797,0.2063695529058,-0.869825050584613,0.213091552903251,0.802750274898052
rrrQ,-1.8175141872887,0.271870288331898,-1.95493265542269,0.286303626158927,-1.95493265542269,0.286303626158927,0.846494482515682
ydfR,0.941149989462268,0.50729178447522,1.53551007753509,0.266437109228813,0.941149989462268,0.50729178447522,0.933370225450487
rzpQ,-1.32016657026545,0.400753223852139,-1.39044014764175,0.377252932377825,-1.32016657026545,0.400753223852139,0.902406711287308
cspD,0.474306429465958,0.0894732103402024,0.471214845242613,0.144918698471029,0.471214845242613,0.144918698471029,0.717701017671767
ydfU,-2.81056337863952,0.0235141715815992,-2.8469235516077,0.0290172238437728,-2.8469235516077,0.0290172238437728,0.402180703172564
rem,-1.86833062723674,0.216702541462836,-1.92038268219436,0.237230151447442,-1.92038268219436,0.237230151447442,0.817126077207856
menC,0.0198809734956109,0.918168466029229,0.0204815736935724,0.938575046640719,0.0204815736935724,0.938575046640719,0.990764611416722
menE,-0.239318757791811,0.476489298004489,-0.247883201216692,0.501466024012508,-0.247883201216692,0.501466024012508,0.931654128393742
arnC,-0.0333036442785133,0.955161416403856,-0.0321024427568313,0.948686616523292,-0.0333036442785133,0.955161416403856,0.994337480650105
chbG,0.430423243895753,0.347055239367773,0.436659635444859,0.360654481184458,0.436659635444859,0.360654481184458,0.876491830095801
arnD,-0.150977938678669,0.791341351125078,-0.159986947549782,0.787677981813296,-0.150977938678669,0.791341351125078,0.976469059057339
arnA,-0.21666134047696,0.593015773598061,-0.217239684030529,0.617031332357614,-0.217239684030529,0.617031332357614,0.951111197043871
arnE,-0.224807316627817,0.902867970403625,-0.173495165751984,0.870239509491465,-0.224807316627817,0.902867970403625,0.983792826051658
arnT,0.0214480189215616,0.901632007165919,0.0222488195700699,0.950264370632476,0.0222488195700699,0.950264370632476,0.993058056906456
pmrD,0.128121830639473,0.664023062798985,0.127979802270348,0.64986990830536,0.128121830639473,0.664023062798985,0.963531731370272
chbF,-0.993102642114945,0.0696465215361808,-1.00410835516587,0.0786191166318566,-1.00410835516587,0.0786191166318566,0.579441438551669
rpsS,-0.173465205438821,0.528998080915088,-0.173089262327176,0.560181881971134,-0.173089262327176,0.560181881971134,0.942870390188411
cedA,-0.683927764380477,0.105722997003046,-0.694222865379935,0.046918404935253,-0.683927764380477,0.105722997003046,0.641078721751066
rpmC,-0.424474485573154,0.160978639713271,-0.426747880521734,0.204134158309637,-0.426747880521734,0.204134158309637,0.793337139547734
rplP,0.365035363546339,0.163011920157798,0.363419744862292,0.183111683555471,0.363419744862292,0.183111683555471,0.7835790799987
rpsC,0.016862975678245,0.940616400632555,0.0174635755743275,0.951125688993983,0.0174635755743275,0.951125688993983,0.99344686805673
katE,0.141893737673994,0.670912836391906,0.135826015026282,0.659843296493086,0.141893737673994,0.670912836391906,0.963531731370272
rplE,-0.130749452678126,0.678307974515208,-0.128485326549497,0.698443547861416,-0.128485326549497,0.698443547861416,0.964458067114327
rplX,0.290655445038769,0.264350614564839,0.292777271742624,0.318351214892897,0.292777271742624,0.318351214892897,0.858700184388228
rplN,0.103896295573843,0.691985049429292,0.104191149229157,0.735296789917058,0.104191149229157,0.735296789917058,0.969114970201774
rpsQ,-0.351262594428292,0.193938779105648,-0.351051822006931,0.228910522160535,-0.351051822006931,0.228910522160535,0.811882646719591
yehI,-0.683640531265553,0.203609098118566,-0.676647105384538,0.189555282960091,-0.683640531265553,0.203609098118566,0.793337139547734
yehL,0.311688069298672,0.646549116190388,0.275776882044834,0.80173298160197,0.275776882044834,0.80173298160197,0.976469059057339
yehK,0.103385999954876,0.80307014792235,0.116999615863399,0.907104784130205,0.116999615863399,0.907104784130205,0.984434133712658
yehP,1.19872703244948,0.118931891383163,1.19375318352979,0.252000608574635,1.19375318352979,0.252000608574635,0.82670155814553
yehM,-0.511864885923744,0.458885600492604,-0.523276308794372,0.519917029890705,-0.523276308794372,0.519917029890705,0.934551443348391
yehR,-0.315714692104232,0.584996915945055,-0.311788601484883,0.595204078378387,-0.311788601484883,0.595204078378387,0.949380896423656
elfG,-0.252896240367373,0.616978090150749,-0.266154957801891,0.583390631123269,-0.252896240367373,0.616978090150749,0.951111197043871
yehT,-0.307263000742906,0.330506994553419,-0.307262998639656,0.325006591005701,-0.307263000742906,0.330506994553419,0.86740952330579
yehS,-0.166752764906695,0.531211511644638,-0.167493209551459,0.515530997686439,-0.166752764906695,0.531211511644638,0.936875549012108
fimH,0.137110370741357,0.697900560439824,0.133438244001714,0.699224624655288,0.133438244001714,0.699224624655288,0.964458067114327
ycbU,0.376129051463504,0.620076988353639,0.340093019322188,0.69940056862,0.340093019322188,0.69940056862,0.964458067114327
coaD,0.227023364547998,0.475950387888361,0.222839742756184,0.48258593723555,0.222839742756184,0.48258593723555,0.92981115052075
yfeS,-1.10430687689241,0.0942602503956775,-1.10881123684365,0.0983658358911982,-1.10881123684365,0.0983658358911982,0.628521242623452
yfeK,-1.1645049601443,0.058568060080222,-1.16802251177446,0.064238002296767,-1.16802251177446,0.064238002296767,0.534570752719612
ydcO,-0.506358243400546,0.303972337255278,-0.515255280648358,0.312185724202121,-0.515255280648358,0.312185724202121,0.855279390012706
ycbV,-0.384344779040498,0.694261913618242,-0.398555032226847,0.665222410006406,-0.384344779040498,0.694261913618242,0.964458067114327
cysU,0.0102144251467257,0.958171343936401,0.0112154262592421,0.974551677088364,0.0112154262592421,0.974551677088364,0.997318200002019
cysW,0.0329462670694841,0.910441368742145,0.027112102958097,0.922887766072642,0.027112102958097,0.922887766072642,0.986721152143406
ucpA,-0.0690390402618715,0.791908118911762,-0.0681081085870199,0.78733798068615,-0.0690390402618715,0.791908118911762,0.976469059057339
cysP,0.0240847137996043,0.92166200216638,0.0172576771577144,0.945033581554559,0.0172576771577144,0.945033581554559,0.991915241408501
ydcK,1.10852303943337,0.0136708483765968,1.10139243159623,0.0736463321461777,1.10139243159623,0.0736463321461777,0.562037107065402
ssuA,-0.307383551834785,0.737577047152073,-0.309185359220416,0.717086238089088,-0.307383551834785,0.737577047152073,0.969114970201774
ydcH,0.258377718434518,0.629887509281592,0.255775115432056,0.683298678915355,0.255775115432056,0.683298678915355,0.963531731370272
rimL,0.265445867642388,0.523304835869086,0.257974959913243,0.442277384869299,0.265445867642388,0.523304835869086,0.936875549012108
insQ,0,0.99522113324028,0,0.989123810168515,0,0.99522113324028,0.998539856104677
tehB,0.696304317879883,0.0262749402641089,0.689601533227263,0.0102920696527929,0.696304317879883,0.0262749402641089,0.397014683497157
ssuE,-2.92388255688974,0.0159906607897598,-2.92854958313923,0.0207725061593455,-2.92854958313923,0.0207725061593455,0.344410921371983
rsxB,0.0747737275878273,0.787414755302191,0.0672963539743754,0.820837362145506,0.0672963539743754,0.820837362145506,0.976469059057339
rsxC,0.0914046410624108,0.72168769314527,0.0881137994663845,0.754858660748208,0.0881137994663845,0.754858660748208,0.970477172938429
tnaB,-0.39288391920276,0.683341158551363,-0.394685730278248,0.688966144667115,-0.394685730278248,0.688966144667115,0.963531731370272
elfA,-0.400352822478593,0.439115189330911,-0.411163634070751,0.439192580750469,-0.411163634070751,0.439192580750469,0.917551687130673
