gene	jh46	jh47	jh63	jh64
yohP	5	9	0	3
fumA	1320	1126	829	768
fumC	133	119	88	85
ydgA	1417	618	561	462
manA	629	249	237	144
uidB	37	22	21	23
uidC	29	15	10	12
proC	469	249	187	153
uidA	122	99	59	64
malI	78	75	36	36
hdhA	237	204	70	108
insA-6	0	0	0	0
yhhZ	27	22	6	7
yhhY	187	101	64	40
yhhX	350	110	137	99
ftsH	13043	5982	4740	3668
folP	522	245	299	197
rimP	1297	644	679	467
nusA	4972	2525	3218	1707
argG	330	156	196	125
yhbX	72	46	47	43
glmM	2223	910	1023	649
secG	5371	3263	1280	2361
rpoZ	2208	826	734	567
yohD	60	95	22	72
ligB	75	47	23	19
yicG	171	49	43	58
caiA	125	43	78	46
caiT	75	75	26	31
rseB	2586	796	635	640
rseA	3494	1474	899	934
caiE	24	11	11	7
caiD	50	35	32	33
caiC	80	34	37	28
caiB	50	17	15	20
dapB	647	234	310	176
carA	250	63	86	54
carB	716	174	303	155
caiF	12	14	13	7
ftsX	985	377	437	279
yidZ	119	46	43	35
yejG	96	532	50	282
asnC	88	31	34	26
nudE	387	483	124	312
adiY	38	6	16	6
tnaA	110	52	86	63
yiaV	25	9	11	11
mmuM	24	4	6	10
hisM	85	138	32	90
yiaR	28	8	7	8
yiaQ	15	10	4	4
lyxK	63	44	44	47
yiaO	16	5	4	8
yiaT	38	21	10	10
yiaS	53	32	16	26
melA	68	24	25	28
ytfQ	73	49	40	41
idi	96	36	43	32
yhfL	22	18	6	7
ppa	8301	1861	3952	1673
codA	534	172	207	132
dadX	1502	1970	732	1102
yfcI	52	63	28	41
cynT	15	13	7	2
ubiE	1198	382	402	255
melR	80	20	107	21
cynR	64	43	31	28
prpC	50	45	43	61
purP	1414	344	412	276
prpB	7	8	7	4
thiF	52	35	36	21
umuD	42	44	18	32
ygeI	2	1	0	1
ygeH	20	11	3	9
ygeG	45	38	13	15
yqeK	7	3	3	1
umuC	77	58	31	63
yqeJ	22	8	6	5
yqeI	92	23	27	18
yqeH	21	14	12	9
yqeG	969	299	404	240
yqeL	2	2	1	1
fimF	43	23	12	13
nirC	99	57	50	44
yieH	124	52	36	35
fimD	482	579	342	670
fimC	89	106	37	55
hsdR	1631	450	784	394
sdaC	14152	7375	10502	5658
mdtF	93	62	42	57
fimA	1830	1636	1284	1139
yjiX	70	50	53	42
rpmD	11505	5330	6840	3168
frlR	197	67	79	53
yieE	189	64	88	43
fimB	83	47	39	28
nanC	5	17	1	8
ydjJ	27	23	4	9
ydjI	16	7	17	8
ydjH	68	35	33	21
ydjG	63	46	36	52
ydjF	180	56	60	46
ydjE	14	20	11	14
pncA	352	111	167	87
ansA	550	202	227	179
rpsM	20704	10665	11818	6469
ydjL	25	15	16	5
ydjK	16	9	12	3
yhjK	864	403	475	456
bcsC	318	134	164	100
bcsZ	79	24	25	26
insH-9	0	0	0	0
fumB	104	32	57	25
yhjH	3172	1960	607	1384
mrr	344	154	143	76
kdgK	1238	473	517	358
yhjJ	820	233	276	194
dctA	1665	528	1043	363
insG	328	190	88	120
hemY	1283	370	466	319
aslB	47	17	24	24
aslA	68	53	36	25
galU	2183	781	725	607
rssB	261	168	114	117
hemX	1281	307	389	271
hemD	661	196	227	121
purU	837	415	316	274
rssA	247	139	96	96
ychJ	434	204	149	129
narI	80	19	99	33
frlB	65	16	15	13
tpr	48	70	40	70
gltP	678	593	229	334
ypeC	15	72	12	59
fdhF	337	258	152	177
mdtP	37	31	14	24
mdtO	38	22	9	10
mdtN	17	6	9	8
ytcA	6	4	10	5
yjcS	61	33	22	42
alsK	63	32	19	19
bcsA	173	71	96	70
yghS	8	7	3	7
exbB	1255	445	666	444
yjjM	51	28	135	33
yghT	98	37	29	45
rep	798	283	280	224
rbbA	931	375	260	248
yihF	36	15	13	16
yjjL	44	54	25	23
ytfI	76	56	23	18
ybfD	7	0	0	1
ybgA	27	13	9	17
ykfH	6	5	0	1
ykfG	1	2	1	3
rhsC	77	34	20	33
ybfB	8	5	5	6
ykfI	91	56	62	59
yafW	0	3	0	1
crl	94	134	35	85
phoE	41	32	16	20
proB	1450	1003	662	635
proA	1757	1070	753	718
ybjS	431	154	144	149
ybjT	368	157	147	128
ybjQ	170	90	63	53
amiD	286	150	123	133
gnsA	242	107	71	49
yccM	37	20	17	10
ltaE	548	296	193	238
poxB	101	97	45	87
insB-4	1	0	0	0
cspH	7	1	2	3
cspG	36	34	24	43
ymcE	161	72	78	50
gfcC	28	17	11	18
rimK	609	194	249	161
gfcA	26	20	12	11
insA-4	2	0	2	0
nikE	66	27	28	16
yhfW	86	70	33	59
ybjN	584	181	188	138
yhfX	19	11	12	10
yhfU	15	5	6	14
proY	820	362	371	302
malZ	241	86	108	77
phoR	152	86	49	59
brnQ	1114	635	488	498
sbcD	342	113	111	78
phoB	142	63	44	42
araJ	4796	2606	2134	1857
sbcC	712	220	298	174
rhlB	2654	1054	1149	723
trxA	3617	1453	1193	908
rho	7406	2644	2936	1724
rfe	1393	452	567	354
wzzE	1229	416	484	323
rffE	1182	446	425	297
acpH	120	51	36	36
queA	638	322	331	236
recA	6792	4496	2790	3632
recX	106	110	59	76
yhfY	24	8	19	7
yqaB	793	290	320	206
yhfZ	86	38	45	24
alaS	21208	7514	8294	4657
csrA	3333	1131	1207	734
gyrA	7783	5671	3224	4404
yfaA	49	40	20	33
yfaT	21	5	9	5
yfaQ	34	41	19	31
yfaP	23	26	15	34
atoB	28	39	14	41
atoE	26	21	3	7
nikC	38	7	35	13
dinQ	802	724	379	559
yfaL	251	232	101	199
ubiG	407	556	162	352
ydhT	23	24	13	15
ydhU	26	9	12	9
ydhX	30	28	9	19
ydhW	23	18	6	7
ydhV	35	21	11	20
ydhY	66	35	8	2
ydhZ	59	25	25	23
pykF	2470	626	878	500
lpp	70816	32543	38842	28132
ynhG	85	110	32	91
opgB	1503	608	663	533
lamB	1246	96	1565	341
arsR	31	25	19	10
djlC	77	38	20	25
hscC	62	35	23	13
ybeT	5	9	4	2
ybeU	33	15	2	10
gltK	105	72	51	29
gltJ	132	90	48	70
rihA	271	96	222	53
gltL	154	89	73	58
gltI	501	242	214	199
insH-3	0	0	0	0
yfcF	52	88	19	57
yfcE	770	567	235	444
tusC	228	70	54	50
tusD	304	105	91	61
rpsL	16090	8979	9209	5438
tusB	386	97	110	84
ogrK	82	75	24	59
rpsG	23814	12527	13175	7354
chiA	257	129	119	91
tufA	16392	4286	8054	2964
baeR	128	133	45	74
baeS	112	81	47	83
yegQ	718	1023	390	664
yegP	12	48	2	52
mdtB	287	191	107	197
mdtA	99	107	37	62
mdtD	53	35	26	34
mdtC	171	145	101	111
nrfE	55	33	34	32
rplS	12248	5257	5230	3626
nrfD	47	25	18	28
malM	861	60	878	220
ynfD	75	30	23	39
ynfE	78	32	22	22
ynfF	89	56	24	34
ynfG	37	20	13	12
ynfA	44	21	11	14
ynfB	396	196	151	124
speG	533	267	177	179
ynfC	100	73	29	42
nikA	332	40	165	30
nikB	62	7	53	8
ynfH	101	83	57	56
dmsD	199	134	81	70
dut	1458	382	449	284
yiaF	1704	998	650	632
ispB	1693	531	628	424
sfsB	51	9	18	8
obgE	1089	416	781	344
yhbE	956	274	643	325
rpmA	9846	2957	5242	2404
rplU	12407	3767	6349	2991
rlmE	1955	844	649	664
yhbY	1345	438	645	429
greA	790	252	397	265
dacB	477	168	224	188
glrK	513	307	191	222
rihC	383	113	284	138
ispH	1142	544	460	436
pgpC	515	200	173	165
tadA	486	201	157	178
yfhL	121	91	48	64
yfhH	268	141	136	97
yaaY	34	20	14	10
rpsT	11863	3600	6532	3846
insA-1	0	0	0	0
insB-1	0	0	0	0
fkpB	661	337	259	245
lspA	1508	839	696	568
ileS	8482	4682	3904	3013
ribF	1861	1005	728	681
glrR	683	183	287	126
mdtM	65	43	22	32
yfhG	448	178	178	151
yraR	116	47	46	29
yjiC	28	8	14	7
ydeR	91	45	27	36
ydeS	15	13	6	7
yraQ	306	180	199	161
tsr	9844	3895	3233	3281
yddB	140	163	74	108
yddA	104	168	36	101
ydeM	15	30	5	15
ydeN	65	31	23	22
ydeO	13	4	1	3
safA	15	6	13	11
ydeP	106	69	39	59
ydeQ	39	29	22	35
yfaY	452	575	173	368
yhbS	516	217	194	116
yfaZ	296	106	98	60
yigL	440	115	128	118
yhbQ	59	19	24	12
rhmD	7	22	5	5
uhpA	366	333	154	239
rhmR	8	8	6	9
yibG	9	5	2	2
rhsA	27	13	14	30
rhmA	35	32	15	28
selA	621	214	277	180
yibF	99	101	40	91
yiaY	18	6	10	12
yphF	20	27	7	21
yiaW	2	0	0	1
rhmT	49	36	11	20
yphG	202	122	75	82
yfaD	49	118	27	61
bfr	124	95	42	86
bfd	32	27	18	29
gspM	25	4	14	18
gspO	22	11	10	10
gspK	27	12	9	13
ypaA	28	59	5	38
gspI	5	3	3	0
gspJ	105	57	7	5
gspG	7	4	5	0
gspH	7	1	3	0
crp	4316	1126	1586	928
yniB	202	116	54	62
spoT	4341	1447	1862	1165
insD-5	0	0	0	0
insC-4	0	0	0	0
yhfK	904	191	400	165
ygeR	678	171	263	144
xdhA	119	47	66	45
fecI	308	127	170	121
yeaI	47	31	16	15
yeaJ	188	141	82	159
iraD	18	16	5	10
gapA	23068	5491	10655	5055
rzoR	1	0	0	0
trkG	188	41	53	47
ynaK	16	9	2	3
ydaT	12	10	11	1
ydaU	15	8	9	11
ydaV	14	13	8	11
mipA	3768	2352	1552	1523
pabA	128	55	52	56
metE	194	157	115	180
metB	492	195	199	174
metL	1502	568	650	437
hsdS	363	49	183	43
hslU	7344	977	2123	1172
hslV	2426	332	604	404
ftsN	1311	700	394	446
cytR	742	351	382	215
priA	310	177	147	153
rpmE	5001	2295	3001	1791
yiiX	76	36	21	39
metJ	514	217	176	138
fic	45	31	19	26
metR	56	134	26	90
aroD	144	107	57	86
emrA	955	316	309	207
ydiF	20	6	13	8
rfaF	1546	350	599	311
dnaC	255	71	89	58
yigE	49	27	6	6
uvrD	1409	663	568	468
yigF	51	27	28	26
corA	659	422	227	241
yigA	779	320	300	221
dapF	1128	521	425	345
yigB	743	410	245	248
xerC	664	221	229	173
rarD	208	114	81	84
yigG	8	3	2	1
rpiR	276	141	129	86
alsB	53	29	25	16
alsA	43	26	19	18
tdh	2442	588	945	515
yggM	21	16	4	11
phnP	113	55	35	47
yjdP	31	40	11	18
rpiB	51	40	18	13
phnM	21	7	15	7
phnN	22	12	12	7
yibQ	425	70	180	81
hycC	52	31	22	37
yjgZ	14	9	3	5
yfeA	346	372	129	265
cyaA	3037	1259	942	1090
cadA	67	51	29	29
yjjB	26	7	8	6
ythA	3	1	0	0
tsgA	262	68	81	51
pyrC	1379	365	307	249
adiA	93	64	52	50
ydiO	26	23	9	9
rfaH	233	109	73	83
ydiP	28	21	15	15
cyaY	371	76	138	79
rtn	206	196	109	144
yifL	360	160	157	140
yejA	231	226	83	158
yjdF	60	41	26	18
lpxT	333	199	130	173
dinI	445	301	179	277
melB	51	29	21	50
argF	30	21	28	21
spr	3029	3513	1309	2673
dcuB	54	24	29	19
yejF	209	125	82	115
yagE	105	69	38	50
yagA	22	14	5	6
yagG	39	24	25	17
yagF	24	23	15	14
yagI	11	7	7	4
yagH	129	68	55	50
lysU	1540	267	550	237
yjjQ	9	10	4	6
yejB	101	79	40	60
allS	19	15	14	8
selU	187	90	89	81
yejE	163	90	43	68
ybbC	18	12	12	6
rhsD	209	127	117	123
ybbP	246	148	96	97
ybbA	91	50	22	29
pldB	801	251	205	199
agp	207	105	145	61
artP	510	174	245	165
cbpA	378	150	111	120
artQ	529	212	268	189
torD	43	20	10	16
artJ	68	30	39	31
rlmD	278	152	110	123
ybjO	113	38	30	41
potI	36	38	20	30
potH	42	55	19	36
ldcC	159	80	70	81
accA	3393	1168	1357	892
dnaE	3393	1238	1649	942
rnhB	478	191	197	160
yaeP	264	163	83	108
rof	285	159	89	90
tilS	521	285	221	178
yaeR	107	86	21	53
yaeJ	150	77	65	58
yaeQ	216	61	99	66
apt	1639	730	695	470
ybaN	107	45	47	45
priC	161	77	48	50
ybaM	44	17	13	12
htpG	13214	1550	4159	1852
recR	2498	826	1141	609
ybaB	1569	483	673	344
dnaX	2194	1167	1043	845
wzyE	443	105	147	81
rffT	568	190	255	158
hemH	353	111	155	112
adk	3620	2473	1752	1694
yjhX	11	9	18	5
yjhQ	47	29	16	10
yifK	519	177	242	119
rffM	269	87	101	74
fhuF	448	247	336	294
nikR	113	41	43	32
ygaP	68	43	31	35
stpA	1198	516	488	415
yggS	538	167	232	127
csiR	130	110	48	55
ygaU	281	147	93	128
yqaE	165	53	61	43
ygaV	37	18	27	25
lhgO	73	77	35	55
gabD	111	130	60	73
gabT	161	119	57	115
gabP	83	55	37	57
yggU	250	113	114	68
yqgE	360	246	163	148
yjjZ	6	5	6	6
gshB	760	406	324	238
ribC	469	214	175	122
cfa	1605	704	430	560
hyaD	24	12	10	7
hyaC	12	8	5	7
yhhH	21	11	10	6
ydhQ	745	309	247	201
mdtK	277	359	139	290
tusE	245	75	86	66
yccX	52	20	17	22
rlmI	1167	366	462	294
hspQ	890	364	289	299
hyaB	72	31	20	16
hyaA	23	24	13	20
yccA	2386	794	780	481
ybfP	29	7	5	5
pgm	3447	1521	1218	1087
seqA	1231	521	393	373
ybfF	247	173	91	102
ybfE	191	94	67	71
fldA	1524	442	583	369
uof	436	175	171	176
fur	1801	838	731	737
chiQ	49	28	24	18
chiP	47	22	80	28
glyQ	4076	1883	1998	1349
yhhJ	268	88	68	59
bamC	3587	2990	1202	2141
yhiM	38	26	18	16
dapA	2994	2719	903	1680
evgS	304	94	120	100
yfdE	19	17	13	25
yfdV	16	35	18	32
oxc	28	50	20	38
frc	29	25	8	22
yfdX	15	19	5	4
prmB	1078	1148	379	699
smrB	250	277	104	174
mepA	455	441	193	319
aroC	1128	1268	418	805
yfcM	339	215	144	167
yfcA	299	203	106	153
mnmC	414	195	163	154
yfcL	264	91	90	94
yfcJ	112	185	54	134
fabB	9001	2110	3076	1926
yiaA	13	5	5	7
torI	59	106	26	76
yhiN	341	109	141	71
ydgD	131	121	73	78
ydgU	0	2	0	1
asr	14	28	7	21
ynfM	51	36	23	24
ynfL	46	36	11	27
dgsA	293	168	182	107
ynfK	278	41	128	43
clcB	76	41	17	34
yhhM	183	64	44	38
yhhL	81	36	25	16
mdtJ	27	12	13	13
mdtI	15	5	6	7
rfaG	547	177	185	180
dsdX	110	530	23	132
yqjH	162	114	68	73
asnB	592	398	237	260
yrbG	431	262	200	162
mlaF	916	586	379	425
mlaE	939	492	377	353
dsdC	91	72	28	40
mlaC	1272	788	524	607
mlaB	612	435	237	279
yrbA	480	180	166	115
murA	2512	988	1082	659
kgtP	6576	11703	3283	7988
yfiP	265	74	108	61
yfiQ	927	228	459	236
pssA	2733	1325	1058	921
yfiM	140	38	70	39
ygiB	810	317	371	206
tolC	4257	1696	1709	1416
ygiD	53	35	19	20
ygiC	1242	410	519	312
cpdA	1110	492	473	375
clpB	21163	5501	6586	4963
nudF	281	161	99	89
yqiB	340	178	154	131
gntT	320	155	381	97
qseD	177	71	61	48
yhfA	262	140	117	93
ybiI	16	9	19	25
pqqL	250	220	106	128
gadB	2	2	1	2
gntR	549	248	190	155
ybiJ	70	23	14	18
ddpX	8	10	3	10
ddpA	44	38	21	24
ddpB	25	3	4	9
ddpC	22	17	22	18
gadC	42	30	14	28
fiu	143	95	127	93
dosC	59	68	34	37
dosP	113	67	46	48
ybiX	23	5	6	12
nfuA	2385	897	761	589
gntP	76	35	67	30
dinG	379	154	152	126
ybiA	40	21	27	15
ydfA	9	2	2	2
yibI	247	338	185	107
yibH	107	38	92	63
mtlD	495	469	172	320
mtlA	542	1314	210	856
yibT	161	66	36	52
mtlR	224	203	67	136
rplD	31485	13417	19167	7530
rplW	14156	5987	8687	3580
rpsJ	16539	7142	10560	4759
rplC	32588	14096	20280	8422
gspA	44	21	28	20
gspB	32	20	14	8
gspD	36	26	22	21
gspC	18	9	4	9
gspF	49	24	16	12
gspE	38	13	12	10
yhiQ	586	83	224	86
gph	1376	468	434	285
ygeY	88	30	25	8
ygeX	39	21	16	9
yqeA	83	22	29	17
hyuA	35	6	8	8
xdhC	92	27	32	15
xdhB	57	23	23	16
ygeW	21	10	11	5
ygeV	175	65	164	61
yqeC	38	10	21	10
yqeB	113	39	49	55
rfaS	337	105	123	66
yibL	281	92	120	72
cadC	208	137	78	100
purN	800	225	267	190
tatB	1335	435	452	310
ytfT	29	28	18	21
rfaB	556	225	220	243
prfA	775	317	321	249
yoaJ	54	30	0	33
yoaK	72	48	0	31
ydaS	8	3	4	6
racR	412	187	125	142
ydaG	3	4	0	2
ydaF	4	3	0	5
sieB	55	32	19	20
kilR	1	0	1	1
ydaE	3	3	3	2
racC	6	3	0	3
recE	69	48	42	53
recT	41	23	18	15
tatC	1232	338	402	247
ytfR	82	64	18	21
yjiM	38	20	26	21
mcrB	390	47	157	51
waaU	312	103	122	91
uxuA	202	171	132	68
atpF	11371	3357	4770	2196
menA	475	148	175	121
rraA	1563	855	619	627
yjjN	37	19	11	7
fpr	325	133	124	106
uspD	132	132	46	76
yiiS	103	92	50	52
yiiR	173	127	63	63
zapB	1606	438	629	390
glpF	1814	1051	1490	758
glpK	8644	3839	5427	2786
tatD	183	84	75	63
atpG	11338	3082	5196	2292
atpD	20608	6098	9314	4288
ygiN	730	334	299	236
ychH	131	84	220	74
gcvR	463	440	131	275
yjjU	313	196	130	137
ychM	983	293	409	244
ytjA	78	77	30	68
glmS	10099	2754	3313	1809
ybjJ	231	134	88	91
pstS	586	422	82	224
atpC	8074	2561	3746	1948
rfaY	332	96	128	111
ubiH	2227	472	862	354
rob	1363	588	507	462
parE	1919	767	824	509
glmU	4742	1145	1415	919
npr	180	77	92	50
ggt	97	68	24	48
soxS	110	80	43	55
soxR	60	31	18	20
yjcB	54	28	10	35
yjcC	65	30	31	14
uvrA	1488	577	527	506
ssb	1356	665	653	509
yjcE	448	294	178	184
yjcF	40	18	9	7
rfaZ	348	120	109	83
holD	518	161	181	159
yrhB	16	4	6	4
rsmC	792	234	324	192
cycA	479	387	183	237
rimI	372	123	130	92
csdA	929	436	396	347
osmY	227	232	110	217
prfC	2896	786	1383	612
kdpF	24	59	3	24
murB	679	197	230	186
afuC	15	8	9	10
hybO	189	49	141	47
mmuP	10	9	3	7
ybfA	365	211	191	162
insH-1	0	0	0	0
insI-1	1	0	0	1
yghW	14	6	7	4
fbp	3124	741	1195	678
yjiH	14	9	7	10
insB-2	0	0	0	0
insA-2	0	0	0	0
gpr	184	83	151	63
yqhA	967	326	256	240
ybfC	23	18	5	14
yghA	46	30	10	27
nikD	36	18	28	11
glxK	48	31	15	15
ylbA	88	86	43	48
yjfF	60	32	23	29
glxR	17	12	5	10
ybbW	11	6	7	4
allB	45	25	26	16
ybbY	31	16	12	5
allA	31	12	7	16
allR	813	406	326	269
gcl	53	31	28	22
hyi	21	10	10	5
ymdF	40	23	11	20
rutG	124	99	62	64
yccJ	67	51	21	45
wrbA	178	137	109	113
rutD	18	15	5	5
rutC	6	2	4	4
rutF	11	5	6	7
rutE	10	11	3	7
ybjC	196	74	75	64
nfsA	455	140	179	93
rutB	8	2	3	4
rutA	15	8	1	11
ybjL	564	243	197	195
ybjM	48	16	13	21
grxA	74	45	27	30
nlpE	219	129	89	96
yaeF	58	21	20	19
proS	6993	3245	3413	2407
yaeB	640	426	253	307
rcsF	652	526	191	336
metQ	872	990	434	599
metI	261	296	136	206
metN	310	400	170	238
gmhB	256	112	137	91
pstB	427	163	156	134
yjdC	313	125	80	101
ybaA	21	21	11	15
ylaB	162	81	75	68
ylaC	319	214	101	144
maa	267	86	125	72
hha	163	57	53	52
tomB	197	105	70	58
acrB	5527	2625	2307	1589
acrA	2068	935	822	572
acrR	85	59	33	32
kefA	1511	636	629	520
hdfR	207	100	55	71
yifE	3271	784	1129	590
fliR	413	100	141	86
proX	1041	334	426	144
proW	1044	441	350	205
proV	1156	640	340	266
nrdF	188	58	35	27
nrdE	535	216	131	144
nrdI	218	128	52	66
nrdH	152	91	34	50
ygaM	151	171	43	134
ygaC	47	64	20	57
alaE	234	343	103	341
gfcE	47	28	48	35
gfcD	89	48	57	63
ydiN	8	6	3	7
ydiB	46	34	11	24
ydiL	9	9	6	15
ydiM	44	33	30	19
ydiK	559	356	202	204
yniD	5	5	2	5
hyaE	14	8	12	9
hyaF	16	6	4	5
appC	79	45	25	21
appB	81	47	39	41
yccB	20	20	7	7
appA	72	41	23	36
etk	250	182	124	138
etp	32	21	14	14
nagE	1392	601	1035	534
glnS	3902	1180	1973	1009
nagD	746	313	234	200
hcr	92	46	42	36
nagA	651	369	328	234
nagB	400	113	221	105
hcp	50	15	40	24
fxsA	530	143	135	133
yfcP	4	9	4	10
yfcO	245	315	64	169
yfcR	3	6	1	5
yfcQ	16	17	3	12
emrY	83	61	19	36
yfcS	14	9	5	9
sixA	824	1304	209	699
yfcV	13	31	6	13
fadI	71	202	43	120
fadJ	125	354	81	194
evgA	166	73	60	66
emrK	14	9	1	13
ybjE	204	146	68	80
glgB	937	654	306	450
rnpA	4064	1546	1882	1262
dicA	334	194	122	166
aqpZ	62	53	25	21
rpmH	5296	2424	2636	1837
relB	195	116	52	91
ydfV	10	4	4	3
hokD	181	104	65	105
relE	195	149	115	221
dicC	0	5	1	1
flxA	900	778	223	621
gfcB	25	19	9	27
yidD	1627	457	799	416
recF	749	295	401	269
slmA	1110	243	310	196
yhgF	2468	583	892	454
lptB	1084	464	421	299
rpoN	2220	922	849	696
lptC	698	332	252	217
lptA	950	393	394	282
yhbJ	1170	458	351	301
ddpF	27	20	12	18
hpf	708	286	212	169
ptsN	896	372	289	231
yrbL	1316	1130	474	677
mtgA	396	154	131	119
ung	748	283	260	210
yfiD	9476	551	6644	996
eamB	118	116	41	61
yfiE	119	88	62	45
srmB	1482	1008	780	651
yfiC	263	184	90	87
nadB	111	58	47	35
rpoE	2574	911	703	675
metC	111	138	60	94
yghB	248	134	125	84
ygiW	89	45	34	50
trxC	394	272	122	210
yfiF	2359	949	1016	681
mnmE	1016	281	370	206
ompR	1161	459	407	311
qseB	20	11	9	10
yrfF	926	328	316	313
cadB	38	37	26	23
yrfG	773	176	289	184
yobH	68	37	22	28
greB	151	53	46	41
hslR	789	169	265	174
ybjG	478	234	149	236
ddpD	26	24	8	10
bdm	4	6	4	8
osmC	221	232	49	158
maeA	2418	480	1039	492
sra	73	212	26	135
yddM	56	73	27	40
adhP	70	45	37	26
fdnH	127	38	188	38
fdnI	97	62	100	47
