gene	jh46	jh47	jh63	jh64
ompF	23920	12876	13348	6679
aspC	2888	1644	1241	1056
ycbL	1016	507	317	361
ycbK	1110	638	274	357
ymgJ	2	3	0	4
ymgI	9	9	8	8
ymgF	31	10	6	4
ymgG	51	39	11	28
ymgD	63	49	23	39
ariR	5	7	6	9
ymgA	15	9	4	5
ycgG	20	13	13	13
ymgC	9	6	1	8
yfjT	51	34	22	14
intD	188	147	73	76
insF-3	0	0	0	0
insE-3	0	0	0	0
yhjC	137	60	26	41
ybcK	39	29	16	19
emrE	158	56	38	44
crr	3707	3771	1478	2691
pdxK	330	301	127	239
cysZ	346	303	115	247
cysK	2291	5402	931	3293
ptsH	1647	1805	771	1064
ptsI	6003	6868	2412	4350
yfeH	288	258	127	143
ypeB	80	95	45	69
ligA	1091	1286	418	711
zipA	2406	4643	840	3102
yidH	44	20	12	17
yhjB	33	18	15	11
yjjW	127	84	67	80
phnH	14	4	9	12
frwB	14	4	7	3
ypjK	2	2	6	2
yjdM	227	140	157	111
treF	153	69	57	56
ydiU	626	276	208	174
alpA	13	18	7	29
yfjI	25	4	10	7
yfjJ	29	16	9	15
yfjK	467	180	152	113
yfjL	395	159	155	119
yfjM	11	8	3	5
rnlA	1096	678	451	539
rnlB	244	187	97	134
yfjP	53	35	22	28
yfjQ	29	10	6	6
yfjW	225	50	47	30
yghU	179	164	64	118
hybE	180	101	73	68
hybF	65	27	39	25
hybC	395	209	224	158
hybD	215	124	101	75
eutL	105	114	37	52
eutC	133	151	44	86
ampG	1046	179	565	223
intZ	207	289	104	178
yffL	66	39	19	41
yffM	4	7	4	10
yeeA	194	243	80	136
sbmC	46	59	17	49
yffP	15	19	11	6
yeeX	760	755	329	630
yeeU	3	5	3	5
cbtA	37	21	5	2
yeeS	33	22	12	14
yeeT	1	0	0	0
yjcZ	813	415	175	342
yjiS	3	2	2	3
eamA	104	130	47	74
marB	110	64	27	34
marA	256	103	72	58
marR	123	66	45	41
marC	102	58	30	41
ydeA	93	50	26	31
yneK	22	19	2	3
yneJ	70	29	21	25
yehX	25	56	5	33
yehY	44	87	23	53
osmF	66	140	16	128
bglX	936	1148	344	698
yehU	400	246	191	212
mlrA	22	40	10	50
yneM	158	420	60	310
ydeE	66	82	19	53
mppA	442	236	225	279
yhiJ	56	34	6	22
xylH	49	27	100	25
xylG	32	16	133	21
rnhA	185	52	51	33
xylB	109	56	351	55
yiaB	20	9	3	13
xylF	28	9	283	18
xylA	128	77	1496	136
ysaB	18	12	4	14
mhpD	23	12	12	13
gadX	64	23	19	32
lepA	8241	2824	3363	2136
mhpF	28	24	12	13
pmbA	1333	467	472	318
accD	4091	4068	1488	2759
mpl	2000	650	666	509
yjgA	828	297	358	211
ycgV	113	70	50	59
tynA	58	33	19	22
feaB	65	118	46	67
dhaR	239	154	112	119
ldhA	2751	563	668	402
hslJ	443	93	128	120
ydbJ	95	78	47	67
ydbK	1493	416	668	369
feaR	50	70	30	37
ydbL	71	28	24	23
ynbE	56	23	9	14
ydbH	541	239	188	126
wecH	135	82	20	17
hybA	104	47	54	21
hybB	129	53	82	37
argD	305	116	151	74
plsY	211	121	82	95
folB	132	66	49	44
ttdA	152	97	68	50
ttdR	39	10	26	3
ttdT	24	10	17	16
ttdB	9	11	7	4
recO	1056	401	546	369
ygjD	859	524	371	327
rpoD	8521	1941	3179	1660
dnaG	2301	1116	1053	852
mgtL	516	295	243	376
yjaZ	55	25	22	48
yhfG	103	60	47	66
rpoC	40944	22675	21526	13406
ppiA	861	448	221	269
rplK	18587	9890	11293	6809
yhdN	126	66	45	48
nusG	3332	1668	1492	1131
gss	1003	236	318	206
uhpC	177	93	49	61
rplJ	33441	13655	20869	9150
pitB	37	17	13	19
acrF	170	91	68	81
rplA	31517	17405	19254	10933
hybG	48	20	12	16
focB	57	36	22	26
hsdM	826	291	398	186
yqgF	250	149	98	98
treC	2485	869	2172	787
smg	555	337	237	185
hyfR	149	62	52	67
fucP	78	50	67	49
fucA	45	24	26	13
fucO	128	91	83	59
ygdG	363	229	204	172
fucR	343	155	176	107
fucU	220	122	53	69
fucK	206	92	93	69
fucI	234	109	137	110
ygdD	362	203	175	127
rlmM	1096	533	527	405
eutB	207	178	71	91
fliF	4086	3425	1644	2369
fliE	1131	895	385	552
fliH	1840	835	748	586
fliG	2619	1486	1195	1094
yedL	17	13	13	19
yedK	10	9	8	11
yhjA	63	36	31	20
fliJ	486	125	208	112
fliI	2124	627	968	573
gadA	1	4	3	1
rpsF	11264	5985	6717	3716
yffN	9	4	5	4
yffO	8	13	8	6
rluF	309	189	123	113
yjbD	92	58	27	47
fliY	1058	722	276	385
yafJ	423	238	171	156
yjbE	69	32	27	96
yjbF	25	27	8	25
lysC	284	134	111	87
yffQ	40	20	15	24
uvrY	651	358	231	249
uvrC	795	361	374	320
pgsA	253	189	126	137
yjbH	48	42	25	46
yecS	176	123	66	72
yecC	246	106	84	89
sdiA	174	86	65	71
yecF	212	79	110	44
cmtA	56	30	15	5
yggP	28	14	15	9
yggF	40	18	20	16
yggD	370	77	141	71
yggC	299	62	123	45
epd	2870	580	1023	450
pgk	15060	2405	5098	1692
fbaA	18130	2189	7012	1761
hyfH	31	7	17	11
yhjE	60	130	24	42
tktA	53227	6009	24650	4511
cmtB	15	7	2	1
waaA	971	339	340	284
mioC	1184	389	281	305
uhpT	1098	719	308	575
arfA	94	66	38	55
katG	2629	978	1264	629
ynaJ	732	633	295	404
insH-4	0	0	0	0
fnr	2665	1198	901	844
uspE	727	657	315	463
abgT	104	63	25	49
ogt	107	51	57	52
abgA	26	26	14	16
abgB	47	45	23	34
lpcA	1475	416	535	334
abgR	55	49	25	22
ivy	286	251	97	144
fadE	134	604	81	294
dinJ	193	148	76	103
yafL	48	18	28	88
yafK	426	389	144	265
yafQ	101	54	56	46
yhiD	15	4	2	3
ybhK	529	267	187	198
moaA	1437	504	548	325
bioD	180	82	177	39
uvrB	835	410	325	306
moaD	399	95	115	71
moaE	578	146	150	118
moaB	883	260	233	196
moaC	722	229	211	150
yliL	2	1	4	2
ybhL	765	304	293	238
ybhM	24	12	13	7
dinF	334	123	127	116
atpH	10103	2750	4565	2065
viaA	233	110	99	86
ykgD	115	76	49	72
ykgE	296	47	310	65
ykgI	8	8	7	2
ykgC	19	18	12	16
ykgB	14	15	7	6
insF-1	0	0	0	0
hofP	6	3	5	3
bglH	42	20	11	16
pgaB	50	19	10	17
yieK	58	22	27	14
yieL	29	16	11	8
phoU	401	170	135	138
hofM	61	52	25	26
ykgF	479	84	417	99
ykgG	621	313	386	199
hofN	30	13	16	15
yeaD	384	78	139	81
dld	711	972	267	649
yeaC	340	314	126	166
pbpG	386	338	115	268
msrB	521	573	206	299
hofQ	112	83	77	73
lpxA	3801	1313	1997	1092
lpxB	1427	562	665	517
lpxD	6735	2377	2848	1632
fabZ	2512	896	1212	698
bamA	8259	2584	3232	1832
skp	5466	1867	2388	1351
cdsA	1292	523	500	321
rseP	2412	931	1057	742
dxr	628	205	266	182
ispU	1455	613	533	410
ydjN	1679	1250	702	643
ydjO	6	1	2	8
yniC	337	187	121	151
ydjM	35	23	28	19
ycbF	46	32	18	21
pyrD	591	134	154	103
ybaQ	217	86	72	50
copA	681	444	249	245
elfC	116	87	27	24
ybaP	163	77	80	67
ushA	553	295	194	173
ybaK	323	138	119	103
ybaL	495	372	280	292
fsr	286	295	134	210
aes	75	38	31	15
gsk	788	233	342	203
tfaE	13	2	2	3
recG	1271	274	495	225
pinE	15	5	9	5
mcrA	80	26	17	26
iraM	11	1	2	11
ycgX	44	10	5	4
ycgE	261	248	91	133
ycgF	44	90	17	60
ycgZ	17	27	7	13
mcrC	211	82	28	15
mrcA	1345	602	671	412
ybcL	11	5	11	11
ybcM	65	41	21	22
ylcH	13	7	5	4
ybcN	8	5	0	4
ninE	3	1	1	2
ybcO	21	9	3	0
rusA	26	17	6	11
ylcG	3	0	1	3
quuD	7	7	3	5
yehW	22	29	5	27
mog	524	182	269	133
yaaH	97	86	59	63
nrdG	49	12	29	10
yfeR	59	57	32	39
yfeN	16	29	7	15
thrL	661	653	197	445
thrA	1083	1565	443	660
thrB	545	594	269	295
thrC	876	901	337	380
yaaX	35	27	12	27
yaaA	387	138	155	93
yaaJ	151	58	91	64
talB	11521	4365	4679	3308
