	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
yafS	62.0348563255479	0.113639241949932	0.412723308733158	0.275340014836439	0.78305502466379	0.883614125562909
gloB	72.8196604245479	-0.260083013559784	0.391870978940928	-0.663695521068401	0.506885206605102	0.688119042514069
ykfM	0.849943764828103	-1.04412989608067	3.09633395758288	-0.337214883918966	0.735954917992203	NA
yafT	23.8051030235588	-0.0422393054640884	0.616822064449352	-0.0684789145825972	0.945404404394367	0.972742052954136
tyrR	502.26514439951	0.299994263473016	0.258922030684772	1.15862780266175	0.246607931036805	0.433164398077627
tpx	3482.05876385908	0.153448320869623	0.275316401631028	0.55735263122925	0.577286522723172	0.74940917358883
ycjG	130.060921011688	0.920848228863389	0.336240051667646	2.73866311968567	0.00616895493052181	0.0288652483125246
mpaA	96.7527568338347	1.12111451933815	0.438689283776426	2.55560042335001	0.0106004768132608	0.0445483392040513
ycjY	20.8290826069824	0.68655481208814	0.663756528517443	1.03434735869434	0.30097380438559	0.495712940718817
ycjZ	50.7888480397061	1.12130543532591	0.532157173871252	2.10709446453352	0.0351093920678877	0.11007884463917
sthA	748.900918089277	0.0275392585379136	0.227617674701004	0.120989104093471	0.903699665466595	0.949609640499164
ytfM	317.592943627097	-0.0820711013881323	0.257871947936202	-0.318263006290381	0.7502854431872	0.86392636293475
ppiB	1399.72276017081	-0.533105609247217	0.211244523469833	-2.52364227242723	0.0116146051919418	0.0477426602239843
lpxH	397.613913160648	-0.603771088609955	0.263123775583136	-2.29462764157999	0.0217544727719314	0.0767924989179289
allD	20.1528513644124	0.701695037277605	0.670900201322076	1.04590077018138	0.295606848744204	NA
allC	41.0384076488472	0.71027199252295	0.493742518162241	1.43854735291312	0.150278811885902	0.311875384019648
fdrA	11.704992616743	0.489316639684382	0.856251037165893	0.571463996474646	0.567685159032872	NA
ybcF	41.2160381077285	0.101509273616073	0.486548339673976	0.208631425366885	0.834735976478705	0.912749065809907
ylbF	12.52937375515	0.489979814434286	0.844252425659729	0.580371224934767	0.561664305545968	NA
purE	107.469667101483	-1.23435880465381	0.409766143320308	-3.01234942118908	0.00259234011322009	0.0143768632836452
purK	197.227423738049	-1.68854011684978	0.3382565239745	-4.99189223908973	5.97906128200526e-07	1.34847762113492e-05
ybjK	34.6039715648028	-0.256999386423053	0.555411993696485	-0.462718467263591	0.643566179400855	0.795463786961306
efeO	250.204953382211	0.760860870352219	0.284432332781123	2.67501539966526	0.00747258176260887	0.0333505858877385
pgaD	20.8467080339103	0.186263951932496	0.65622059149936	0.283843503762831	0.776530313831957	0.879329749533087
phoH	160.073420943853	3.3513273058218	0.342842872444554	9.77511150203012	1.43998682882596e-22	6.08934430239779e-20
putA	1298.06212957562	2.64538194862247	0.287855392084328	9.18996837081133	3.9295688853415e-20	8.30858221194393e-18
rutR	84.126610664146	0.153777333410499	0.427533926971803	0.359684515565103	0.719083072910261	0.848502977208027
potF	86.5172250536127	1.96233016178036	0.38429661571309	5.10629050984256	3.28544467209472e-07	8.42019645886094e-06
putP	416.194171439695	0.203519517674167	0.267553864614664	0.760667456503682	0.446855717417497	0.636847096688426
gstB	238.96559213825	0.57602625539431	0.291133026665061	1.97856719312374	0.0478647564019582	0.139351524017061
yliI	42.2112224315345	0.0430733432975175	0.503784852371961	0.0854994807698485	0.931864308246955	0.966134524915553
deoR	214.350724117172	0.0692266359147438	0.291746395704732	0.237283602930286	0.812436781873696	0.90173019457963
dacC	353.889346313146	0.345316629859791	0.252633161496267	1.36686976410614	0.171666130750881	0.341163591228348
mdfA	158.44431590844	-0.699381846609872	0.307372808465707	-2.27535366612594	0.0228847224958121	0.0791605482651659
pgaC	20.34868341195	0.457741165518033	0.662626848885964	0.690797794094227	0.489692622026787	NA
ybjI	95.2952582351877	0.0997836300057249	0.354898975626182	0.281160659395162	0.778587177273489	0.881217939349687
ybjH	33.8968987938586	0.315524158581054	0.533762521242397	0.591132097185528	0.554431915251324	0.730134271643484
pstC	204.959297687397	0.151550703014024	0.329868809890471	0.459427197934674	0.645927420849065	0.797217243609043
ugpB	57.0443291374645	1.66100843438086	0.440438937787537	3.77125701629521	0.000162427271055599	0.00152636516105858
ilvE	191.263527096965	1.23098148862953	0.319382103089177	3.85425944886405	0.000116080449341383	0.00119361750796929
yojO	3.49128040285302	0.921777889498688	1.61823531930002	0.569619188572284	0.568936010948179	NA
ilvA	176.190381122469	0.584461775872787	0.303300732142275	1.92700417089209	0.053979110145163	0.153197424178764
ilvD	237.669682117971	0.743823518648706	0.298363225904131	2.49301339464572	0.0126664067842757	0.0508687640697591
potG	51.7943603378331	1.7623954942233	0.459685451958803	3.83391618488994	0.000126119130559791	0.00126982446036837
ybaZ	44.7267267210787	0.857259901083218	0.544684913223007	1.57386386197232	0.115518926122132	0.26175261062578
yahE	11.9593533523333	0.543898899678843	0.84641912616341	0.642588149140947	0.520491374811944	NA
yahD	7.88059799457986	0.859658750492199	1.05540829418637	0.814527188413769	0.415343003196726	NA
amtB	55.4474239257922	0.625504239561589	0.44879895222426	1.3937292778015	0.163399371546231	0.328983081051889
glnK	1.73890665502475	0.986319609918972	2.24762064637605	0.43882832786274	0.660785932611393	NA
ybaY	215.948326811476	1.71555947174643	0.308598907562559	5.55918841481528	2.71031986457758e-08	9.75426819347442e-07
tesB	275.353063059263	0.106006026292555	0.278440538316252	0.380713336260518	0.703415971916563	0.835669523252178
ybaO	53.454909535189	-0.513151256548174	0.463046492124117	-1.10820676816752	0.267772528507255	0.455442163871314
cof	168.880695576032	0.470683610072642	0.311212513088124	1.51241865374276	0.13042739242737	0.283388483353754
mdlB	133.6476365516	-0.604502778177298	0.323250428001235	-1.8700757239987	0.0614733030674413	0.168392052046278
mdlA	219.200418812638	-0.113929021156039	0.288757620692595	-0.394548967687076	0.693175781991519	0.829743410174483
fhuA	946.099094695856	-0.507909606967824	0.339452757787968	-1.49626006952366	0.134585896324272	0.290187436115368
mrcB	689.366922199869	-0.383644935839021	0.239639349541818	-1.60092629433579	0.109393244947384	0.252612523997952
hrpB	366.366363616502	-0.47489767529944	0.247146930313805	-1.92151961869993	0.0546662314456346	0.154887655762631
ligT	70.4221373380034	-1.1408171899181	0.404230609144674	-2.82219397569124	0.0047696318582527	0.0235557147101735
sfsA	189.119368147028	-0.488059967579516	0.310292747852726	-1.57290162582583	0.115741598597151	0.26175261062578
dksA	1890.53395548618	-0.255006811851012	0.231673541424335	-1.10071616414729	0.271020208957838	0.459579632533518
gluQ	143.883476874915	-0.242783646359411	0.325918931576694	-0.744920355454342	0.45631986883581	0.644832964190286
pcnB	1297.14892755245	-0.493611822415476	0.210863053616176	-2.34091185701016	0.0192367080414338	0.0695275462651395
